num_MesAno;nom_Cidade;nom_AreaTelefonica;qtd_Acessos;nom_EscritorioServico;CRITICIDADE;
12025;ADAMANTINA;EC;1.469;;;
12025;AMERICANA;#;1;;;
12025;AMERICANA;PN;2.030;;;
12025;AMERICANA;PZ;570;;;
12025;AMERICANA;SV;8.234;;;
12025;AMERICANA;XN;19.957;;;
12025;AMERICO BRASILIENSE;FN;1.493;;;
12025;AMPARO;LR;3.330;;;
12025;ANDRADINA;AD;1.032;;;
12025;APARECIDA;CT;1.286;SJ CAMPOS;;
12025;ARACARIGUAMA;VO;60;;;
12025;ARACATUBA;#;1;;;
12025;ARACATUBA;ES;2.343;;;
12025;ARACATUBA;XN;18.698;;;
12025;ARACOIABA DA SERRA;AS;1;;;
12025;ARACOIABA DA SERRA;DR;1.035;;;
12025;ARACOIABA DA SERRA;DT;2;;;
12025;ARACOIABA DA SERRA;IP;587;;;
12025;ARACOIABA DA SERRA;PI;1;;;
12025;ARACOIABA DA SERRA;SM;1;;;
12025;ARARAQUARA;AD;506;;;
12025;ARARAQUARA;FI;2.832;;;
12025;ARARAQUARA;JI;1.862;;;
12025;ARARAQUARA;VX;376;;;
12025;ARARAS;JM;7.725;;;
12025;ARTUR NOGUEIRA;DC;1.746;;;
12025;ASSIS;RP;7.797;;;
12025;ATIBAIA;#;1;JUNDIAI;;
12025;ATIBAIA;BT;1;JUNDIAI;;
12025;ATIBAIA;MR;165;JUNDIAI;;
12025;ATIBAIA;PA;280;JUNDIAI;;
12025;ATIBAIA;SJ;14.574;JUNDIAI;;
12025;AVARE;SC;5.090;;;
12025;BARRA BONITA;RC;2.693;;;
12025;BARRETOS;BR;3.133;;;
12025;BARUERI;#;2;;;
12025;BARUERI;AL;14.505;;;
12025;BARUERI;AS;2.012;;;
12025;BARUERI;BA;13.662;;;
12025;BARUERI;CN;5.559;;;
12025;BARUERI;JS;5.917;;;
12025;BAURU;#;2;;;
12025;BAURU;AC;12.117;;;
12025;BAURU;CE;3.117;;;
12025;BAURU;IN;3.504;;;
12025;BAURU;RE;6.360;;;
12025;BAURU;SPBRU_;1;;;
12025;BAURU;VA;2.931;;;
12025;BAURU;VF;3.259;;;
12025;BEBEDOURO;JM;2.094;;;
12025;BIRIGUI;BC;4.680;;;
12025;BOITUVA;AB;3.062;;;
12025;BOITUVA;CT;735;;;
12025;BOTUCATU;JP;12.917;;;
12025;BRAGANCA PAULISTA;#;1;JUNDIAI;;
12025;BRAGANCA PAULISTA;AV;2.489;JUNDIAI;;
12025;BRAGANCA PAULISTA;DN;2.874;JUNDIAI;;
12025;BRAGANCA PAULISTA;SC;11.336;JUNDIAI;;
12025;CABREUVA;CM;12;JUNDIAI;;
12025;CABREUVA;JC;1.730;JUNDIAI;;
12025;CACAPAVA;MI;6.289;SJ CAMPOS;;
12025;CAIEIRAS;AC;1.248;JUNDIAI;;
12025;CAIEIRAS;JL;213;JUNDIAI;;
12025;CAJAMAR;CJ;609;JUNDIAI;;
12025;CAJAMAR;JN;2.589;JUNDIAI;;
12025;CAJAMAR;PV;5.548;JUNDIAI;;
12025;CAMPINAS;#;5;;;
12025;CAMPINAS;AL;1.697;;;
12025;CAMPINAS;AM;1.088;;;
12025;CAMPINAS;BD;2.836;;;
12025;CAMPINAS;BE;3.076;;;
12025;CAMPINAS;BG;4.659;;;
12025;CAMPINAS;BV;1.781;;;
12025;CAMPINAS;CB;21.417;;;
12025;CAMPINAS;CE;14.611;;;
12025;CAMPINAS;CL;17.380;;;
12025;CAMPINAS;CT;12.752;;;
12025;CAMPINAS;DL;3.528;;;
12025;CAMPINAS;JO;11.680;;;
12025;CAMPINAS;MD;2.330;;;
12025;CAMPINAS;;3.645;;;
12025;CAMPINAS;OV;6.095;;;
12025;CAMPINAS;SB;7.472;;;
12025;CAMPINAS;SG;2.550;;;
12025;CAMPINAS;SL;2.692;;;
12025;CAMPINAS;SS;3.734;;;
12025;CAMPINAS;TK;2;;;
12025;CAMPINAS;TQ;8.374;;;
12025;CAMPINAS;VC;6.414;;;
12025;CAMPINAS;VT;7.962;;;
12025;CAMPO LIMPO PAULISTA;#;1;JUNDIAI;;
12025;CAMPO LIMPO PAULISTA;MS;4.846;JUNDIAI;;
12025;CAMPOS DO JORDAO;AB;2.780;SJ CAMPOS;;
12025;CAMPOS DO JORDAO;ER;1.576;SJ CAMPOS;;
12025;CAMPOS DO JORDAO;GZ;1;SJ CAMPOS;;
12025;CAMPOS DO JORDAO;IA;2;SJ CAMPOS;;
12025;CAMPOS DO JORDAO;JD;2;SJ CAMPOS;;
12025;CAMPOS DO JORDAO;NI;1;SJ CAMPOS;;
12025;CAMPOS DO JORDAO;VE;7;SJ CAMPOS;;
12025;CAPIVARI;IP;4;;;
12025;CAPIVARI;PF;2.230;;;
12025;CARAGUATATUBA;AA;3.832;SJ CAMPOS;;
12025;CARAGUATATUBA;MG;1.624;SJ CAMPOS;;
12025;CARAGUATATUBA;MK;1.133;SJ CAMPOS;;
12025;CARAGUATATUBA;PN;1.622;SJ CAMPOS;;
12025;CARAPICUIBA;AD;6.707;;;
12025;CARAPICUIBA;AT;6.747;;;
12025;CARAPICUIBA;CA;8.683;;;
12025;CARAPICUIBA;VD;13.800;;;
12025;CARAPICUIBA;VI;2.366;;;
12025;CATANDUVA;RB;8.504;;;
12025;COSMOPOLIS;JG;1;;;
